IR Value,Red Value
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
281,281
270,270
4749,4749
3941,3941
3968,3968
3946,3946
3970,3970
3942,3942
3951,3951
3911,3911
3954,3954
3934,3934
4003,4003
3852,3852
3751,3751
3767,3767
3715,3715
3746,3746
3667,3667
